Anime,1st recomm,2nd recomm,3rd recomm
Katanagatari,Seirei Gensouki,Vinland Saga,Sword Art Online
Katekyo Hitman Reborn!,One Piece,Dragon Ball,Black Cat (TV)
Keijo!!!!!!!!,Hinomaru Zumou,Giant Killing,Beyblade Burst
Kekkai Sensen,Blood Lad,Claymore,Servamp
Kemono Jihen,Kimetsu no Yaiba,Kuroshitsuji,Ushio to Tora (TV)
Kengan Ashura,Hanma Baki: Son of Ogre,Hinomaru Zumou,Battle Spirits: Burning Soul
Kenpuu Denki Berserk,Elfen Lied,Gantz,Tokyo Ghoul
Keppeki Danshi! Aoyama-kun,Aoharu x Kikanjuu,Eyeshield 21,Hajime no Ippo
Kill la Kill,Charlotte,Needless,Ansatsu Kyoushitsu
Kimetsu no Yaiba,Ao no Exorcist,Kuroshitsuji,Donten ni Warau
Kingdom,91 Days,Young Black Jack,Princess Principal
Kiseijuu: Sei no Kakuritsu,Highschool of the Dead,Gantz,Ajin
Kiznaiver,Made in Abyss,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,Bakuman.
Kobayashi-san Chi no Maid Dragon,Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu.",Great Teacher Onizuka
Kokkoku,Tokyo Ghoul,Mirai Nikki (TV),Zetsuen no Tempest
Kokoro Connect,Clannad,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Shinigami Bocchan to Kuro Maid
"Komi-san wa, Comyushou desu.",Kobayashi-san Chi no Maid Dragon,Ranma ½,Great Teacher Onizuka
Kono Subarashii Sekai ni Shukufuku wo!,Pokemon XY,Toriko,Fairy Tail
Koutetsujou no Kabaneri,Gantz,Tokyo Ghoul,Elfen Lied
Kumichou Musume to Sewagakari,3-gatsu no Lion,Sono Bisque Doll wa Koi wo Suru,"Komi-san wa, Comyushou desu."
Kuroko no Basket,Shakunetsu Kabaddi,Haikyuu!!,Slam Dunk
Kuroshitsuji,Ushio to Tora (TV),Makai Ouji: Devils and Realist,Yuu☆Yuu☆Hakusho
Kyoukai no Kanata,Mushishi,Musaigen no Phantom World,Violet Evergarden
Log Horizon,Mahou Sensou,Rokka no Yuusha,Overlord
Lycoris Recoil,Tomodachi Game,Golden Kamuy,Chainsaw Man
Made in Abyss,Black Bullet,Saint Seiya,Divine Gate
Magi: The Kingdom of Magic,Log Horizon,Rokka no Yuusha,Fairy Tail
Magic Kaito 1412,5-toubun no Hanayome,Itazura na Kiss,Gekkan Shoujo Nozaki-kun
Mahou Sensou,Log Horizon,Rokka no Yuusha,Black Clover
Mahouka Koukou no Rettousei,Cardcaptor Sakura,Angel Beats!,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Mairimashita! Iruma-kun,Soul Eater,Saiki Kusuo no Ψ-nan,Hataraku Maou-sama!
Major 2nd,Hajime no Ippo,Keppeki Danshi! Aoyama-kun,SK∞
Makai Ouji: Devils and Realist,Saiyuuki Reload Blast,Yuu☆Yuu☆Hakusho,Ushio to Tora (TV)
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Makai Ouji: Devils and Realist,Mahouka Koukou no Rettousei,Cardcaptor Sakura
Masamune-kun no Revenge,Nisekoi,Horimiya,Tonari no Kaibutsu-kun
Mayoiga,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,Yakusoku no Neverland,Re:Zero kara Hajimeru Isekai Seikatsu
Megalo Box,Ashita no Joe,Aoharu x Kikanjuu,Eyeshield 21
Mieruko-chan,Deadman Wonderland,Koutetsujou no Kabaneri,Kenpuu Denki Berserk
Mini Dragon,Spy x Family,Boku no Hero Academia,Detective Conan
Mirai Nikki (TV),Kokkoku,Tokyo Ghoul,Steins;Gate
Mob Psycho 100,Hinamatsuri (TV),Clannad,Fruits Basket 1st Season
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Noragami,Mairimashita! Iruma-kun,Baccano!
Monster,Death Note,Yakusoku no Neverland,Mousou Dairinin
Mousou Dairinin,Monster,Death Note,Kokkoku
Munou na Nana,C: The Money of Soul and Possibility Control,Bungou Stray Dogs,K
Musaigen no Phantom World,Hinamatsuri (TV),The God of High School,Soul Eater
Mushishi,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Musaigen no Phantom World,No Game No Life
Mushoku Tensei: Isekai Ittara Honki Dasu,Violet Evergarden,Hai to Gensou no Grimgar,Tate no Yuusha no Nariagari
Naruto,Katekyo Hitman Reborn!,One Piece,Needless
Natsume Yuujinchou,Yuu☆Yuu☆Hakusho,Ao no Exorcist,Blood Lad
Needless,Naruto,Dragon Ball,One Piece
Neon Genesis Evangelion,Higurashi no Naku Koro ni,Inuyashiki,Subete ga F ni Naru
Nisekoi,Masamune-kun no Revenge,Horimiya,Tonari no Kaibutsu-kun
No Game No Life,Mairimashita! Iruma-kun,Overlord,Musaigen no Phantom World
Noragami,Soul Eater,Baccano!,InuYasha
Odd Taxi,Alice to Zouroku,Hakata Tonkotsu Ramens,Summertime Render
One Piece,Naruto,Hamatora The Animation,Black Cat (TV)
One Punch Man,Shaman King,Bleach,Yozakura Quartet: Hana no Uta
Orange,Jaku-Chara Tomozaki-kun,Rakudai Kishi no Cavalry,Ao Haru Ride
Ousama Ranking,Goblin Slayer,BlazBlue: Alter Memory,Tensei shitara Ken Deshita
Overlord,Log Horizon,Rokka no Yuusha,Qualidea Code
Owari no Seraph,Servamp,Blood Lad,Hellsing
Paripi Koumei,Bus Gamer,Lycoris Recoil,Tomodachi Game
Persona 4 the Animation,One Punch Man,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Phi Brain: Kami no Puzzle,Battle Spirits: Burning Soul,Yu☆Gi☆Oh! Duel Monsters,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Ping Pong the Animation,Yowamushi Pedal,Hajime no Ippo,Major 2nd
Pokemon XY,Toriko,Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Prince of Stride: Alternative,Slam Dunk,Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls
Princess Principal,Vinland Saga,Young Black Jack,Hakata Tonkotsu Ramens
Psycho-Pass,Id:Invaded,Steins;Gate,Mirai Nikki (TV)
Qualidea Code,Mahou Sensou,Mairimashita! Iruma-kun,Magi: The Kingdom of Magic
Rainbow: Nisha Rokubou no Shichinin,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,91 Days,Vinland Saga
Rakudai Kishi no Cavalry,Jaku-Chara Tomozaki-kun,Suki tte Ii na yo.,Nisekoi
Ranma ½,Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu.",Great Teacher Onizuka
Ranpo Kitan: Game of Laplace,Alice to Zouroku,Hakata Tonkotsu Ramens,Summertime Render
Re-Main,Days (TV),Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls
Re:Zero kara Hajimeru Isekai Seikatsu,Zankyou no Terror,Death Parade,Yuukoku no Moriarty
Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Fuufu Ijou, Koibito Miman.",5-toubun no Hanayome,"Kanojo, Okarishimasu"
Rokka no Yuusha,Log Horizon,Mahou Sensou,Overlord
Romeo x Juliet,Seirei Gensouki,Vinland Saga,Rainbow: Nisha Rokubou no Shichinin
Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama,Yasuke,Katanagatari
Ryman's Club,Giant Killing,Keijo!!!!!!!!,Captain Tsubasa
Saihate no Paladin,Goblin Slayer,Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Saiki Kusuo no Ψ-nan,Noragami,Baccano!,Soul Eater
Saint Seiya,Divine Gate,Made in Abyss,Dr. Stone
Saiyuuki Reload Blast,Kuroshitsuji,Yuu☆Yuu☆Hakusho,Blood Lad
