Anime,1st recomm,2nd recomm,3rd recomm
Psycho-Pass,Id:Invaded,Steins;Gate,Mirai Nikki (TV)
Qualidea Code,Mahou Sensou,Mairimashita! Iruma-kun,Soul Eater
Rainbow: Nisha Rokubou no Shichinin,Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,91 Days,Vinland Saga
Rakudai Kishi no Cavalry,Suki tte Ii na yo.,Orange,Kanojo mo Kanojo
Ranma 1/2,Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu."
Ranpo Kitan: Game of Laplace,Gyakkyou Burai Kaiji: Ultimate Survivor,Alice to Zouroku,Hakata Tonkotsu Ramens
Re:Zero kara Hajimeru Isekai Seikatsu,Steins;Gate,Death Parade,Yuukoku no Moriarty
Re-Main,All Out!!,Prince of Stride: Alternative,Iwa Kakeru!: Sport Climbing Girls
Rikei ga Koi ni Ochita no de Shoumei shitemita.,"Fuufu Ijou, Koibito Miman.","Kanojo, Okarishimasu",Itazura na Kiss
Rokka no Yuusha,Mahou Sensou,Overlord,Fairy Tail
Romeo x Juliet,Seirei Gensouki,Vinland Saga,Howl no Ugoku Shiro
Rurouni Kenshin: Meiji Kenkaku Romantan,Gintama,Yasuke,Katanagatari
Ryman's Club,Giant Killing,Keijo!!!!!!!!,Captain Tsubasa
Saihate no Paladin,Goblin Slayer,Magi: The Labyrinth of Magic,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru"
Saiki Kusuo no nan,Noragami,Baccano!,Soul Eater
Saint Seiya,Divine Gate,Made in Abyss,Dr. Stone
Saiyuuki Reload Blast,Kuroshitsuji,Yuu Yuu Hakusho,Blood Lad
Sakurako-san no Ashimoto ni wa Shitai ga Umatteiru,Re:Zero kara Hajimeru Isekai Seikatsu,Death Parade,Golgo 13 (TV)
Sakura-sou no Pet na Kanojo,Gokushufudou,Senpai ga Uzai Kouhai no Hanashi,Toradora!
Seikaisuru Kado,Bubble,Dimension W,Cyberpunk: Edgerunners
Seirei Gensouki,Howl no Ugoku Shiro,Sword Art Online,Cike Wu Liuqi
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,Hataraku Maou-sama!,InuYasha,Kokoro Connect
"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",Tensei shitara Ken Deshita,BlazBlue: Alter Memory,Magi: The Labyrinth of Magic
Senpai ga Uzai Kouhai no Hanashi,"Ijiranaide, Nagatoro-san",Toradora!,Sakura-sou no Pet na Kanojo
Servamp,Saiyuuki Reload Blast,Owari no Seraph,Kekkai Sensen
Shakunetsu Kabaddi,Iwa Kakeru!: Sport Climbing Girls,Slam Dunk,Haikyuu!!
Shaman King,Bungou Stray Dogs,Yozakura Quartet: Hana no Uta,Shuumatsu no Walkyrie
Shigatsu wa Kimi no Uso,Suki tte Ii na yo.,Ao Haru Ride,Nisekoi
Shijou Saikyou no Deshi Kenichi,Busou Shoujo Machiavellianism,Haikyuu!!,Slam Dunk
Shingeki no Kyojin,Taboo Tattoo,Darker than Black: Kuro no Keiyakusha,Darwin's Game
Shinigami Bocchan to Kuro Maid,Hataraku Maou-sama!,InuYasha,Kokoro Connect
Shokugeki no Souma,Kengan Ashura,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Days (TV)
Shouwa Genroku Rakugo Shinjuu,Gangsta.,Gyakkyou Burai Kaiji: Ultimate Survivor,Banana Fish
SK8,Eyeshield 21,Aoharu x Kikanjuu,Hajime no Ippo
Slam Dunk,Prince of Stride: Alternative,Kuroko no Basket,Iwa Kakeru!: Sport Climbing Girls
Sono Bisque Doll wa Koi wo Suru,"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi,Gokushufudou
Soul Eater,Noragami,Mairimashita! Iruma-kun,Baccano!
Spy x Family,Boku no Hero Academia,Pokemon (2019),Digimon Adventure
Steins;Gate,Re:Zero kara Hajimeru Isekai Seikatsu,Psycho-Pass,Inuyashiki
Subete ga F ni Naru,Yakusoku no Neverland,Inuyashiki,Steins;Gate
Suki tte Ii na yo.,Shigatsu wa Kimi no Uso,Kanojo mo Kanojo,Nisekoi
Summertime Render,Boku dake ga Inai Machi,Shiguang Dailiren,Bakemonogatari
Sword Art Online,Yu-Gi-Oh! Duel Monsters,Magi: The Labyrinth of Magic,Goblin Slayer
Taboo Tattoo,Deatte 5-byou de Battle,11eyes,Shuumatsu no Walkyrie
Tate no Yuusha no Nariagari,Fullmetal Alchemist: Brotherhood,Akame ga Kill!,Kami no Tou
Tengen Toppa Gurren Lagann,Dr. Stone,The God of High School,Hinamatsuri (TV)
Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",BlazBlue: Alter Memory,Magi: The Labyrinth of Magic
Terra Formars,Kiseijuu: Sei no Kakuritsu,Gantz,Deadman Wonderland
The God of High School,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Soul Eater,Gakusen Toshi Asterisk
Tokyo Ghoul,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Ajin
Tokyo Revengers,Jujutsu Kaisen,Gakusen Toshi Asterisk,Kimi no Na wa.
Tomodachi Game,Lycoris Recoil,Jormungand,ChainsawMan
Tonari no Kaibutsu-kun,Ao Haru Ride,Kanojo mo Kanojo,Masamune-kun no Revenge
Toradora!,Gokushufudou,Senpai ga Uzai Kouhai no Hanashi,Sakura-sou no Pet na Kanojo
Toriko,Pokemon (2019),Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Trigun,Tengen Toppa Gurren Lagann,The God of High School,Made in Abyss
Uma Musume: Pretty Derby,Ashita no Joe,Keppeki Danshi! Aoyama-kun,SK8
Ushio to Tora (TV),Yuu Yuu Hakusho,Kuroshitsuji,Blood Lad
Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),Ranma 1/2,Kobayashi-san Chi no Maid Dragon
Vinland Saga,Princess Principal,Young Black Jack,Banana Fish
Aggressive Retsuko (ONA),Aggressive Retsuko (ONA),Kobayashi-san Chi no Maid Dragon,Ranma 1/2
Aoi Sekai no Chuushin de,Digimon Adventure,Pokemon (2019),Magi: The Labyrinth of Magic
Baki,Hinomaru Zumou,Battle Spirits: Burning Soul,Bus Gamer
BlueLock,Ao Ashi,Hanebado!,Captain Tsubasa
Cike Wu Liuqi,Bakuman.,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Cyberpunk: Edgerunners,Dimension W,Akudama Drive,Seikaisuru Kado
Gokushufudou,Senpai ga Uzai Kouhai no Hanashi,Toradora!,Sakura-sou no Pet na Kanojo
Kengan Ashura,Hinomaru Zumou,Battle Spirits: Burning Soul,Bus Gamer
Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Summertime Render,Saiki Kusuo no nan
