Anime,1st recomm,2nd recomm,3rd recomm
High School DxD,Gekkan Shoujo Nozaki-kun,Ao Haru Ride,Masamune-kun no Revenge
Highschool of the Dead,Lycoris Recoil,Brave 10,Zankyou no Terror
Higurashi no Naku Koro ni,Yowamushi Pedal,Another,Dr. Stone
Hinamatsuri (TV),Ranma 1/2,Alice to Zouroku,Kobayashi-san Chi no Maid Dragon
Hinomaru Zumou,Baki,Kenpuu Denki Berserk,Haikyuu!!
Horimiya,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,Otonari no Tenshi-sama ni Itsunomanika Dame Ningen ni Sareteita Ken,Katekyo Hitman Reborn!
Hunter x Hunter (2011),"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",Hataraku Maou-sama!,Fate/stay night
Id:Invaded,Akudama Drive,Sword Art Online,Detective Conan
"Ijiranaide, Nagatoro-san",Nichijou,Bakuman.,Mahouka Koukou no Rettousei
Inazuma Eleven,BlueLock,Days (TV),Captain Tsubasa
InuYasha,Brave 10,Zombieland Saga,Highschool of the Dead
Inuyashiki,91 Days,Makai Ouji: Devils and Realist,Mairimashita! Iruma-kun
Itazura na Kiss,Gleipnir,Slam Dunk,Highschool of the Dead
Iwa Kakeru!: Sport Climbing Girls,High School DxD,Shijou Saikyou no Deshi Kenichi,Kobayashi-san Chi no Maid Dragon
Jaku-Chara Tomozaki-kun,Beyblade Burst,Tokyo Revengers,Log Horizon
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Donten ni Warau,Golden Kamuy,Kemono Jihen
Joker Game,Id:Invaded,World Trigger,DRAMAtical Murder
Jormungand,Fullmetal Alchemist: Brotherhood,Ao no Exorcist: Kyoto Fujouou-hen,Kill la Kill
Jujutsu Kaisen,Saihate no Paladin,Magic Kaito 1412,Fate/stay night
K,Kumichou Musume to Sewagakari,Rokka no Yuusha,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou"
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Tomodachi Game,"Fuufu Ijou, Koibito Miman.",Nana
Kakegurui,Ansatsu Kyoushitsu,Another,Blue Period
Kami no Tou,Saiki Kusuo no nan,ChainsawMan,Horimiya
Kanojo mo Kanojo,Dr. Stone,Nana,Higurashi no Naku Koro ni
"Kanojo, Okarishimasu",Great Teacher Onizuka,High School DxD,Seirei Gensouki
Katanagatari,Beyblade Burst,Yasuke,Gintama
Katekyo Hitman Reborn!,Clannad,Tonari no Kaibutsu-kun,Ballroom e Youkoso
Keijo!!!!!!!!,Wizard Barristers: Benmashi Cecil,Haikyuu!!,Shaman King
Kekkai Sensen,Naruto,World Trigger,Banana Fish
Kemono Jihen,Persona 4 the Animation,Ga-Rei: Zero,Kill la Kill
Kenpuu Denki Berserk,Taboo Tattoo,Saint Seiya,Jormungand
Keppeki Danshi! Aoyama-kun,BlueLock,Ping Pong the Animation,Captain Tsubasa
Kill la Kill,Persona 4 the Animation,Fate/stay night,Ranpo Kitan: Game of Laplace
Kimetsu no Yaiba,Devil May Cry,Btooom!,Kiznaiver
Kingdom,"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",God Eater,86
Kiseijuu: Sei no Kakuritsu,Naruto,Elfen Lied,Ao no Exorcist: Kyoto Fujouou-hen
