Anime,1st recomm,2nd recomm,3rd recomm
Tensei shitara Ken Deshita,"Sekai Saikou no Ansatsusha, Isekai Kizoku ni Tensei suru",BlazBlue: Alter Memory,Magi: The Labyrinth of Magic
Terra Formars,Kiseijuu: Sei no Kakuritsu,Gantz,Deadman Wonderland
The God of High School,Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,Soul Eater,Gakusen Toshi Asterisk
Tokyo Ghoul,Koutetsujou no Kabaneri,Kenpuu Denki Berserk,Ajin
Tokyo Revengers,Jujutsu Kaisen,Gakusen Toshi Asterisk,Kimi no Na wa.
Tomodachi Game,Lycoris Recoil,Golden Kamuy,Jormungand
Tonari no Kaibutsu-kun,Ao Haru Ride,Nisekoi,Masamune-kun no Revenge
Toradora!,"Ijiranaide, Nagatoro-san",Senpai ga Uzai Kouhai no Hanashi,Sakura-sou no Pet na Kanojo
Toriko,Pokemon (2019),Kono Subarashii Sekai ni Shukufuku wo!,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka
Trigun,Tengen Toppa Gurren Lagann,Uchuu Kyoudai,The God of High School
Uma Musume: Pretty Derby,Ashita no Joe,Keppeki Danshi! Aoyama-kun,SKâˆž
Ushio to Tora (TV),Yuuâ˜†Yuuâ˜†Hakusho,Kuroshitsuji,Blood Lad
Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu.",Kobayashi-san Chi no Maid Dragon,Ranma Â½
Vinland Saga,Princess Principal,Young Black Jack,Banana Fish
Aggressive Retsuko (ONA),"Komi-san wa, Comyushou desu.",Ranma Â½,Kobayashi-san Chi no Maid Dragon
Aoi Sekai no Chuushin de,Digimon Adventure,Pokemon (2019),Magi: The Labyrinth of Magic
Baki,Hinomaru Zumou,Battle Spirits: Burning Soul,Lycoris Recoil
Blue Lock,Hanebado!,Buzzer Beater,Captain Tsubasa
Cike Wu Liuqi,Bakuman.,Shinigami Bocchan to Kuro Maid,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai
Cyberpunk: Edgerunners,Bubble,Akudama Drive,Seikaisuru Kado
Gokushufudou,Senpai ga Uzai Kouhai no Hanashi,Toradora!,Sakura-sou no Pet na Kanojo
Kengan Ashura,Hinomaru Zumou,Battle Spirits: Burning Soul,Lycoris Recoil
Shiguang Dailiren,JoJo no Kimyou na Bouken Part 3: Stardust Crusaders,Summertime Render,Saiki Kusuo no Î¨-nan
Shuumatsu no WalkÃ¼re,Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,11eyes,Bleach
Star Wars: Visions,Beyblade Burst,Bubble,Cyberpunk: Edgerunners
Violet Evergarden,3-gatsu no Lion,Aria the Origination,Bokutachi no Remake
Vivy: Fluorite Eye's Song,Made in Abyss,Steins;Gate,Golgo 13 (TV)
Wizard Barristers: Benmashi Cecil,Id:Invaded,Yuuâ˜†Yuuâ˜†Hakusho,86
Wonder Egg Priority,Hai to Gensou no Grimgar,Akame ga Kill!,Tate no Yuusha no Nariagari
